item_id,version,status,blueprint_version,major_category,subcategory,difficulty,tags_anatomy_region,tags_physics_concept,tags_positioning_theme,tags_clinical_concept,tags_imaging_system,stem,option_a,option_b,option_c,option_d,correct_option,explanation,author,last_updated
IA-31,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,sampling frequency,,,general radiography,"In CR, higher sampling frequency improves:",Contrast,Spatial resolution,Beam quality,SID,B,Higher sampling frequency captures more detail.,chatgpt,2026-02-28
IA-32,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,latitude,,,general radiography,Digital imaging latitude refers to:,SID range,kVp range,Acceptable exposure range,Patient size,C,Latitude is the range of exposures that produce acceptable images.,chatgpt,2026-02-28
IA-33,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,post-processing,,,general radiography,Adjusting region of interest (ROI) affects:,Patient dose,Image appearance only,Spatial resolution,Scatter production,B,"ROI/post-processing changes appearance, not patient dose.",chatgpt,2026-02-28
HSP-18,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,cervical spine,,,,general radiography,Swimmer’s lateral view is performed to visualize:,C1-C2,C3-C4,C7-T1 junction,Dens,C,Swimmer’s view demonstrates the cervicothoracic junction (C7-T1).,chatgpt,2026-02-28
HSP-19,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,thoracic spine,,,,general radiography,"For upper thoracic lateral, arms should be:",Down at sides,Elevated,Crossed over chest,Behind back,B,Arms elevated removes humeri from the thoracic spine field.,chatgpt,2026-02-28
TA-11,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,abdomen,,,,general radiography,Free intraperitoneal air is best seen on:,Supine,Upright,Prone,AP axial,B,Free air rises under the diaphragm on upright images.,chatgpt,2026-02-28
EXT-11,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,AC joint,,,,general radiography,Bilateral AC joint imaging with weights evaluates:,Fracture,Dislocation separation,Glenoid,Clavicle only,B,Weighted AC joints evaluate separation.,chatgpt,2026-02-28
EXT-12,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,elbow,,,,general radiography,Radial head-capitulum view requires CR angled:,10° cephalad,45° cephalad,30° cephalad,Perpendicular,B,Radial head-capitulum uses ~45° cephalad angle.,chatgpt,2026-02-28
HSP-20,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,sacrum,,,,general radiography,AP axial sacrum requires CR angled:,10° cephalad,15° cephalad,15° caudad,30° caudad,B,AP axial sacrum uses ~15° cephalad angle.,chatgpt,2026-02-28
EXT-13,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,femur,,,,general radiography,AP femur requires inclusion of:,Knee only,Hip only,Both hip and knee joints,Tibia only,C,Include the entire femur with both adjacent joints.,chatgpt,2026-02-28
HSP-21,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,sinuses,,,,general radiography,Caldwell sinus view demonstrates primarily:,Maxillary,Frontal and ethmoid,Sphenoid,Nasal bones,B,Caldwell view demonstrates frontal and ethmoid sinuses.,chatgpt,2026-02-28
EXT-14,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,wrist,,,,general radiography,Tangential carpal canal view demonstrates:,Scaphoid,Pisiform,Hamulus of hamate,Capitate,C,Carpal canal view demonstrates the hamate hook.,chatgpt,2026-02-28
HSP-22,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,lumbar spine,,,,general radiography,Lateral lumbar spine requires CR centered at:,L1,L3,L5,Iliac crest,B,Lateral lumbar spine is typically centered at L3.,chatgpt,2026-02-28
PC-32,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,nosocomial infection,general radiography,A healthcare-associated infection acquired during hospitalization is referred to as:,Vector-borne infection,Community infection,Nosocomial infection,Reverse isolation,C,Nosocomial infections originate within healthcare settings.,chatgpt,2026-02-28
PC-33,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,barium contraindication,general radiography,Barium sulfate is contraindicated in patients with suspected:,GERD,Esophageal varices,Bowel perforation,Hiatal hernia,C,Barium is contraindicated with suspected perforation; use water-soluble contrast.,chatgpt,2026-02-28
PC-34,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,battery,general radiography,Performing a procedure without patient consent may legally be considered:,Negligence,Malpractice,Battery,Assault only,C,Battery is unauthorized physical contact without consent.,chatgpt,2026-02-28
PC-35,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,pediatric communication,general radiography,"When imaging a young child, the most effective communication technique is to:",Use medical terminology,Speak to parent only,"Use simple, reassuring language",Provide no explanation,C,Age-appropriate communication reduces anxiety and improves cooperation.,chatgpt,2026-02-28
PC-36,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,vasovagal,general radiography,"Pallor, bradycardia, and hypotension during venipuncture most likely indicate:",Anaphylaxis,Vasovagal reaction,Hyperglycemia,Stroke,B,"Vasovagal reactions commonly cause pallor, bradycardia, and hypotension.",chatgpt,2026-02-28
PC-37,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,oxygen delivery,general radiography,A nasal cannula typically delivers oxygen at a maximum flow rate of approximately:,2 L/min,4 L/min,6 L/min,10 L/min,C,Nasal cannula typically ranges 1–6 L/min.,chatgpt,2026-02-28
RPR-22,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,mAs,,,general radiography,Increasing mAs primarily affects beam:,Quality,Quantity,Wavelength,Frequency,B,mAs controls the number of photons produced (beam quantity).,chatgpt,2026-02-28
RPR-23,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,frequency,,,general radiography,Increasing photon frequency results in:,Lower energy,Higher energy,Shorter wavelength increase,Increased scatter only,B,Energy is directly proportional to frequency.,chatgpt,2026-02-28
RP-22,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,gonadal shielding,general radiography,Gonadal shielding is most appropriate when the gonads are:,Within 5 cm of primary beam,20 cm from beam,Not in field,Above diaphragm,A,Shielding may be used when gonads are close to the primary beam and will not obscure anatomy.,chatgpt,2026-02-28
RP-23,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,public dose limit,general radiography,Annual effective dose limit for the general public is approximately:,1 mSv,5 mSv,10 mSv,50 mSv,A,Public annual effective dose limit is 1 mSv.,chatgpt,2026-02-28
RPR-24,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,cell cycle,,,general radiography,Cells are most radiosensitive during which phase?,S phase,G1 phase,M phase,G0 phase,C,Cells are most radiosensitive during mitosis (M phase).,chatgpt,2026-02-28
RP-24,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,fluoro magnification,general radiography,Activating magnification mode during fluoroscopy will:,Decrease dose,Increase dose,Reduce brightness,Reduce SID,B,Magnification mode increases dose rate.,chatgpt,2026-02-28
RP-25,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,collimation,general radiography,Proper collimation reduces patient dose by:,Increasing HVL,Limiting exposed tissue,Increasing kVp,Increasing mAs,B,Collimation reduces exposed tissue volume and scatter.,chatgpt,2026-02-28
RPR-25,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,remnant radiation,,,general radiography,Remnant radiation refers to photons that:,Exit the tube housing,Interact with collimator,Exit the patient and reach detector,Scatter toward technologist only,C,Remnant radiation is the exiting beam that forms the image.,chatgpt,2026-02-28
IA-34,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,kVp contrast,,,general radiography,Reducing kVp while maintaining mAs will generally:,Decrease contrast,Increase contrast,Increase penetration,Decrease dose only,B,Lower kVp increases radiographic contrast.,chatgpt,2026-02-28
IA-35,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,SID magnification,,,general radiography,Increasing SID reduces magnification because it:,Reduces beam intensity,Increases photon energy,Decreases beam divergence effect,Reduces OID,C,"Greater SID reduces divergence at receptor, reducing magnification.",chatgpt,2026-02-28
IA-36,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,grid cutoff,,,general radiography,Off-center grid alignment causes:,Uniform density,Partial cutoff,Increased contrast,Increased DQE,B,Off-center alignment can produce grid cutoff.,chatgpt,2026-02-28
IA-37,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,bit depth,,,general radiography,A 12-bit system can display how many gray levels?,256,1024,2048,4096,D,2^12 = 4096 grayscale levels.,chatgpt,2026-02-28
IA-38,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,SNR,,,general radiography,Increasing photon quantity improves SNR because it:,Reduces geometric blur,Reduces quantum noise,Increases contrast,Eliminates scatter,B,More photons reduce quantum noise and improve SNR.,chatgpt,2026-02-28
IA-39,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,filtration,,,general radiography,Increasing filtration while keeping mAs constant will:,Increase skin dose,Decrease skin dose,Increase contrast,Increase magnification,B,Filtration removes low-energy photons that add skin dose.,chatgpt,2026-02-28
IA-40,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,artifact,,,general radiography,Excessive collimation that cuts off anatomy is an example of:,Exposure error,Grid cutoff,Improper centering,Artifact,D,Collimation that excludes anatomy is an imaging artifact and unacceptable practice.,chatgpt,2026-02-28
EQ-06,1,draft,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,calibration,,,general radiography,Flat-field calibration in DR primarily corrects for:,Motion,Dead pixels and detector uniformity,Scatter,kVp fluctuation,B,Flat-field calibration corrects detector non-uniformity and pixel defects.,chatgpt,2026-02-28
HSP-23,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,odontoid,,,,general radiography,"For AP open-mouth view, what must be aligned with skull base?",Occlusal plane,Mastoid tips,Upper incisors,External auditory meatus,A,Align the occlusal plane to avoid superimposition of dens by skull base.,chatgpt,2026-02-28
HSP-24,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,thoracic spine,,,,general radiography,AP thoracic spine is centered at approximately:,T3,T5,T7,T10,C,T7 corresponds to the inferior angle of the scapula.,chatgpt,2026-02-28
TA-12,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,abdomen,,,,general radiography,"To demonstrate left free intraperitoneal air in a patient unable to stand, perform:",Right lateral decubitus,Left lateral decubitus,Supine,Prone,A,Right lateral decubitus places left side up; free air rises and is seen under left abdominal wall.,chatgpt,2026-02-28
TA-13,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,ribs,,,,general radiography,"For right anterior ribs, exposure should be made on:",Inspiration,Expiration,Both phases,Breath hold random,B,Anterior ribs are best demonstrated on expiration.,chatgpt,2026-02-28
EXT-15,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,shoulder,,,,general radiography,Neer method is used to demonstrate:,Glenoid fossa,AC joint,Supraspinatus outlet,Humeral head,C,Neer demonstrates supraspinatus outlet for impingement evaluation.,chatgpt,2026-02-28
EXT-16,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,knee,,,,general radiography,Camp Coventry method requires CR angled approximately:,10° caudad,40–50° caudad,45° cephalad,Perpendicular,B,Camp Coventry uses 40–50° caudad angle for intercondylar fossa.,chatgpt,2026-02-28
HSP-25,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,coccyx,,,,general radiography,AP axial coccyx requires CR angled:,10° cephalad,10° caudad,30° cephalad,45° caudad,B,Coccyx AP axial uses ~10° caudad angle.,chatgpt,2026-02-28
EXT-17,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,hip,,,,general radiography,Axiolateral inferosuperior (Clements-Nakayama) view is used for:,Non-trauma hip,Trauma hip,SI joints,Acetabulum,B,Clements-Nakayama is used for trauma hip without moving the limb.,chatgpt,2026-02-28
EXT-18,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,foot,,,,general radiography,Lateral foot requires CR centered at:,Base of first metatarsal,Medial cuneiform,Base of third metatarsal,Calcaneus,C,Center at base of the 3rd metatarsal.,chatgpt,2026-02-28
HSP-26,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,sinuses,,,,general radiography,Sphenoid sinuses are best demonstrated on:,Waters,Caldwell,Lateral,PA,C,Lateral demonstrates sphenoid sinus air-fluid levels.,chatgpt,2026-02-28
PC-38,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,negligence,general radiography,"For negligence to be proven, which element must exist?",Intent,Criminal action,"Duty, breach, causation, damages",Written consent only,C,"Negligence requires duty owed, breach, causation, and damages.",chatgpt,2026-02-28
PC-39,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,3,,,,metformin,general radiography,A patient taking metformin with reduced renal function should:,Continue medication normally,Discontinue per protocol after contrast,Increase hydration only,Double metformin dose,B,Metformin may be held per protocol to reduce risk of lactic acidosis when renal function is impaired after contrast.,chatgpt,2026-02-28
PC-40,1,draft,RAD_2022_Jan,Patient Care,Patient Interactions and Management,2,,,,code blue,general radiography,"When activating a Code Blue, the radiographer should provide:",Patient diagnosis,Room number and emergency type,Insurance information,Imaging protocol,B,Provide clear location and emergency type to mobilize response quickly.,chatgpt,2026-02-28
RPR-26,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,2,,rotating anode,,,general radiography,The rotating anode primarily functions to:,Increase contrast,Dissipate heat,Increase filtration,Reduce scatter,B,Rotation spreads heat across a larger anode surface area.,chatgpt,2026-02-28
RPR-27,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,tungsten target,,,general radiography,Tungsten is used as an anode target because of its:,Low melting point,High atomic number and high melting point,Low density,Flexibility,B,Tungsten’s high Z and high melting point are ideal for x-ray production.,chatgpt,2026-02-28
RPR-28,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,latent period,,,general radiography,The time between radiation exposure and symptom appearance is called:,Recovery phase,Latent period,Manifest illness,Prodromal phase,B,Latent period occurs between exposure and symptom onset.,chatgpt,2026-02-28
RP-26,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,lead storage,general radiography,Protective lead aprons should be stored:,Folded on shelf,On floor,Hanging vertically,Rolled tightly,C,Hanging prevents cracks in shielding from folding.,chatgpt,2026-02-28
RP-27,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,badge exchange,general radiography,Personnel dosimeters are typically exchanged:,Daily,Weekly,Monthly,Every 5 years,C,Dosimeters are commonly exchanged monthly.,chatgpt,2026-02-28
RPR-29,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,beam intensity,,,general radiography,Increasing kVp while keeping mAs constant will:,Decrease intensity,Increase intensity,Not affect intensity,Reduce dose only,B,Higher kVp increases beam output/intensity.,chatgpt,2026-02-28
RPR-30,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,dose equivalent,,,general radiography,Dose equivalent accounts for:,Tissue weighting only,Radiation weighting factor,HVL,Filtration,B,Equivalent dose uses radiation weighting factor to reflect biologic effect.,chatgpt,2026-02-28
RPR-31,1,draft,RAD_2022_Jan,Safety,Radiation Physics and Radiobiology,3,,inverse square law,,,general radiography,"If a technologist steps from 2 ft to 4 ft from source, exposure becomes:",1/2,1/3,1/4,1/8,C,Distance doubled → intensity quartered (inverse square law).,chatgpt,2026-02-28
RP-28,1,draft,RAD_2022_Jan,Safety,Radiation Protection,3,,,,lens limit,general radiography,Annual dose limit for lens of eye is approximately:,15 mSv,20 mSv,50 mSv,150 mSv,D,Traditional U.S. lens dose limit is 150 mSv; follow facility policy.,chatgpt,2026-02-28
RP-29,1,draft,RAD_2022_Jan,Safety,Radiation Protection,2,,,,peds dose,general radiography,Dose reduction in pediatric imaging is most effectively achieved by:,Increasing kVp and reducing mAs appropriately,Increasing mAs,Removing collimation,Using magnification,A,Technique optimization and collimation are key for pediatrics.,chatgpt,2026-02-28
IA-41,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,beam hardening,,,general radiography,Beam hardening occurs when:,Low-energy photons are removed,High-energy photons are removed,kVp decreases,SID increases,A,Removing low-energy photons increases average beam energy (hardening).,chatgpt,2026-02-28
IA-42,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,focal spot,,,general radiography,Increasing focal spot size will:,Improve resolution,Increase geometric blur,Decrease magnification,Increase contrast,B,Larger focal spot increases penumbra/blur.,chatgpt,2026-02-28
IA-43,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,exposure indicator,,,general radiography,"Exposure indicators vary among manufacturers, meaning:",All systems use identical scales,Interpretation must consider vendor standard,EI reflects patient dose exactly,EI irrelevant in DR,B,Exposure indicator scales vary; interpret using vendor guidance.,chatgpt,2026-02-28
IA-44,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,histogram shift,,,general radiography,Excessive collimation may cause histogram shift leading to:,Underexposed appearance,Overexposed appearance,No effect,Increased DQE,A,Improper histogram analysis from poor collimation can produce underexposed appearance.,chatgpt,2026-02-28
IA-45,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,electronic noise,,,general radiography,Electronic noise differs from quantum noise because it originates from:,Low photon count,Detector circuitry,Patient motion,Scatter,B,Electronic noise originates within system electronics.,chatgpt,2026-02-28
IA-46,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,SID compensation,,,general radiography,Increasing SID from 40 to 80 inches requires mAs change by factor of:,2,4,8,1/2,B,Doubling SID requires mAs x4 to maintain receptor exposure.,chatgpt,2026-02-28
IA-47,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,exposure creep,,,general radiography,Exposure creep occurs because digital systems:,Reject high exposures,Hide overexposure visually,Automatically reduce mAs,Limit kVp,B,"Wide latitude can mask overexposure, leading to gradual dose increases.",chatgpt,2026-02-28
IA-48,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,2,,collimation,,,general radiography,Proper collimation improves image quality by reducing:,Geometric distortion,Quantum mottle,Scatter radiation,Focal spot size,C,Less scatter improves contrast.,chatgpt,2026-02-28
EQ-07,1,draft,RAD_2022_Jan,Image Production,Equipment Operation and Quality Assurance,3,,moiré,,,general radiography,Moiré pattern in CR results from:,Motion,Grid frequency interference,Low kVp,Excess filtration,B,Moiré is caused by grid frequency interacting with reader sampling.,chatgpt,2026-02-28
IA-49,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,pixel pitch,,,general radiography,Smaller pixel pitch results in:,Lower resolution,Higher spatial resolution,Increased noise only,Reduced contrast,B,Smaller pixel pitch increases spatial resolution.,chatgpt,2026-02-28
IA-50,1,draft,RAD_2022_Jan,Image Production,Image Acquisition and Evaluation,3,,post-processing,,,general radiography,Increasing post-processing brightness does not change:,Image appearance,Patient dose,Histogram,Contrast,B,"Post-processing changes display, not patient exposure.",chatgpt,2026-02-28
HSP-27,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,skull,,,,general radiography,PA axial (Caldwell) skull requires CR angled:,15° caudad,15° cephalad,30° caudad,Perpendicular,A,Caldwell skull uses 15° caudad angle.,chatgpt,2026-02-28
HSP-28,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,skull,,,,general radiography,Lateral skull requires CR centered:,2 inches above EAM,2 inches superior to EAM,2 inches anterior and 2 inches superior to EAM,Nasion,C,Center approx. 2 inches anterior and 2 inches superior to the EAM.,chatgpt,2026-02-28
HSP-29,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,facial bones,,,,general radiography,Waters view for facial bones requires OML forming:,30° to IR,37° to IR,Perpendicular,15° angle,B,Waters positions the MML about 37° to IR for facial bones/maxillary sinuses.,chatgpt,2026-02-28
HSP-30,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",2,nasal bones,,,,general radiography,Nasal bones are best demonstrated in:,AP,Lateral,PA,Towne,B,Lateral nasal bones are standard for evaluation.,chatgpt,2026-02-28
HSP-31,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,zygoma,,,,general radiography,Tangential zygomatic arches require CR angled:,15°,30°,45°,60°,C,Tangential arches commonly use ~45°.,chatgpt,2026-02-28
EXT-19,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,clavicle,,,,general radiography,AP axial clavicle requires CR angled:,15–30° cephalad,15–30° caudad,Perpendicular,45° cephalad,A,AP axial clavicle uses cephalad angle to project above ribs.,chatgpt,2026-02-28
TA-14,1,draft,RAD_2022_Jan,Procedures,Thorax and Abdomen Procedures,3,sternum,,,,general radiography,Sternum RAO requires patient rotated approximately:,5°,10°,15–20°,45°,C,RAO sternum uses ~15–20° rotation.,chatgpt,2026-02-28
EXT-20,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,hand,,,,general radiography,PA hand requires CR centered at:,Base of 1st metacarpal,3rd MCP joint,Wrist joint,Distal phalanx,B,Center at the 3rd MCP joint for PA hand.,chatgpt,2026-02-28
EXT-21,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,finger,,,,general radiography,PA finger CR centered at:,DIP,PIP,MCP,Tip,C,Center at the MCP joint for finger imaging.,chatgpt,2026-02-28
EXT-22,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,toes,,,,general radiography,AP toes CR centered at:,Base of 1st MTP,IP joint,Tip of toe,Calcaneus,A,Center at the base of the 1st MTP joint for toes.,chatgpt,2026-02-28
EXT-23,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,calcaneus,,,,general radiography,Lateral calcaneus includes visualization of:,Subtalar joint,Talofibular joint,Patellofemoral joint,SI joint,A,Lateral calcaneus demonstrates subtalar joint region.,chatgpt,2026-02-28
HSP-32,1,draft,RAD_2022_Jan,Procedures,"Head, Spine and Pelvis Procedures",3,pelvis,,,,general radiography,AP pelvis requires internal rotation of legs approximately:,5°,10–15°,20–30°,45°,B,Rotate legs 10–15° internally to place femoral necks parallel to IR.,chatgpt,2026-02-28
EXT-24,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,humerus,,,,general radiography,AP humerus requires inclusion of:,Shoulder only,Elbow only,Both shoulder and elbow,Wrist,C,Include both adjacent joints when imaging long bones.,chatgpt,2026-02-28
EXT-25,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,3,scapula,,,,general radiography,AP scapula requires:,Abducted arm,Neutral arm,Internal rotation,RAO position,A,Abduct the arm to move scapula laterally away from ribs.,chatgpt,2026-02-28
EXT-26,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,tibia/fibula,,,,general radiography,AP tibia/fibula requires inclusion of:,Knee only,Ankle only,Both knee and ankle,Foot only,C,Include both adjacent joints for tibia/fibula.,chatgpt,2026-02-28
EXT-27,1,draft,RAD_2022_Jan,Procedures,Extremity Procedures,2,forearm,,,,general radiography,AP forearm requires inclusion of:,Wrist only,Elbow only,Both wrist and elbow,Hand only,C,Include both adjacent joints for forearm.,chatgpt,2026-02-28
